CASE#,DATE OF OCCURRENCE,BLOCK, IUCR,PRIMARY DESCRIPTION,SECONDARY DESCRIPTION,LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JG411521,09/01/2023 08:36:00 PM,027XX N NARRAGANSETT AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,2512,36,06,1133279,1917422,41.929627277,-87.785659069,"(41.929627277, -87.785659069)"
JG386940,08/17/2023 08:37:00 PM,004XX N PARK DR,0484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",HOTEL / MOTEL,Y,N,1834,42,08B,1178583,1903429,41.89031518,-87.619607985,"(41.89031518, -87.619607985)"
JG385908,08/17/2023 03:21:00 AM,087XX S RIDGELAND AVE,0820,THEFT,$500 AND UNDER,VEHICLE - COMMERCIAL,N,N,412,8,06,1189399,1847163,41.735664109,-87.581694689,"(41.735664109, -87.581694689)"
JG386970,08/17/2023 09:13:00 PM,028XX S SAWYER AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,Y,N,1032,22,24,1155159,1884941,41.840084546,-87.706127868,"(41.840084546, -87.706127868)"
JG387000,08/17/2023 09:00:00 PM,039XX W GLADYS AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,N,N,1132,28,04A,1150186,1898065,41.876196592,-87.724035116,"(41.876196592, -87.724035116)"
JG386346,08/17/2023 12:46:00 PM,031XX W 40TH ST,2024,NARCOTICS,POSSESS - HEROIN (WHITE),STREET,Y,N,921,12,18,1156064,1877927,41.820819083,-87.70299573,"(41.820819083, -87.70299573)"
JG387508,08/17/2023 10:00:00 PM,004XX W 100TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2232,9,07,1175048,1838600,41.712497975,-87.634525598,"(41.712497975, -87.634525598)"
JG392397,08/18/2023 12:00:00 AM,062XX S INGLESIDE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,N,N,313,20,05,1183522,1863876,41.78166509,-87.602705494,"(41.78166509, -87.602705494)"
JG387577,08/17/2023 08:37:00 AM,016XX W 47TH ST,0860,THEFT,RETAIL THEFT,DRUG STORE,N,N,924,15,06,1166298,1873549,41.80859321,-87.665577234,"(41.80859321, -87.665577234)"
JG386691,08/17/2023 05:00:00 PM,059XX S ALBANY AVE,0460,BATTERY,SIMPLE,RESIDENCE - YARD (FRONT / BACK),N,N,824,14,08B,1156731,1865134,41.78569991,-87.700894159,"(41.78569991, -87.700894159)"
JG387015,08/17/2023 09:54:00 PM,076XX S SANGAMON ST,143B,WEAPONS VIOLATION,UNLAWFUL POSSESSION - OTHER FIREARM,STREET,Y,N,621,17,15,1171297,1854267,41.75557312,-87.647805868,"(41.75557312, -87.647805868)"
JG386101,08/17/2023 09:20:00 AM,039XX W DIVISION ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2535,37,08B,1149998,1907717,41.902686365,-87.724473931,"(41.902686365, -87.724473931)"
